#1.2																								
12618	23																							
NAME	description	Control_12	Control_13	Control_16	Control_20	Control_25	Control_7	Control_35	Control_38	Cyp7a1_2	Cyp7a1_5	Cyp7a1_17	Cyp7a1_19	Cyp7a1_24	Cyp7a1_26	Cyp7a1_28	Cyp8b1_3	Cyp8b1_4	Cyp8b1_6	Cyp8b1_10	Cyp8b1_18	Cyp8b1_27	Cyp8b1_30	Cyp8b1_34
Slc22a18	NA	1822.777205	1750.000317	2051.82319	2098.351557	2219.497149	1897.549777	1676.523017	1893.571315	1714.579457	1671.029239	1903.407218	1619.415936	1596.653775	1524.137771	1668.082746	1691.406514	1831.837336	1983.731799	1926.250943	1328.258761	1481.235756	1598.014193	1971.150763
Igsf5	NA	567.9102426	535.7930485	443.9512953	498.9599664	448.7507897	511.0857035	500.0475377	491.4378108	507.732245	424.9562608	422.2859729	475.464881	408.3300365	404.109811	432.6617159	424.6208821	507.0900463	462.1036487	498.7307477	516.9032879	547.7817495	503.4238261	444.432559
Dlat	NA	1341.712343	1396.338358	1210.370232	1293.948592	1347.263069	1522.497411	1387.404623	1342.239521	1787.986529	1351.657593	1660.020721	1431.847222	1708.319541	1770.792128	1665.439191	1497.968112	1424.536094	1510.581848	1394.042572	1197.152313	1557.522576	1927.049374	1378.936228
Sdhd	NA	3440.638343	2885.187747	2927.22011	3250.039026	3016.939431	3299.38485	2786.628551	2950.162608	3734.147819	3626.526119	3983.633686	3627.055491	3193.307551	3377.148018	3635.768309	3510.199292	3249.245658	3274.308124	3429.310391	3197.062955	3166.962571	3825.582365	3234.903981
Ccnd2	NA	242.9719079	227.4229487	205.4502976	252.0950774	249.6428943	235.1762786	255.4788329	204.2538401	215.8517461	243.4554349	161.2175512	195.202325	259.9979008	269.9236358	185.0487991	217.0284509	310.567197	236.5749755	234.3433634	194.5103848	260.6466352	151.356183	220.5863313
Gpr107	NA	599.135548	662.9957147	661.014001	602.5176953	647.8586851	657.1101902	674.6095872	591.2611161	644.9335573	635.2528909	639.6696388	598.6931643	614.161708	614.3089642	585.1066789	627.4953036	641.4994562	724.4533298	640.3668464	649.0843781	572.1511504	642.7153859	603.0808564
Lhx2	NA	87.82117154	110.8205046	105.4049353	73.22263658	93.99509784	110.6711899	96.37279817	101.3590485	116.2278633	92.49561324	72.80792637	85.060231	122.499011	82.21811894	88.11847574	103.7962156	94.69753877	84.68831809	110.7336772	83.82215479	97.47760339	82.25879512	85.84394172
Gmpr	NA	20.49160669	14.45484843	23.22481625	23.01282864	10.10699977	29.97344727	23.63861087	26.1076337	27.96459869	21.81500312	18.72203821	14.17670517	29.99975779	24.82056421	16.74251039	18.87203921	13.23729037	10.12577716	25.75201795	15.04500214	18.01216584	28.51638231	23.90590782
Mid2	NA	66.35377405	72.27424216	97.36557583	83.68301323	64.68479852	79.92919273	107.2829263	75.25141478	83.89379607	89.87781287	82.16894547	102.5084835	114.9990715	82.21811894	89.88084525	58.97512252	97.75229808	95.73462045	74.68085206	76.29965372	74.16774171	80.06522725	67.37119477
Trim25	NA	2411.179054	2149.91779	2360.891898	1994.793828	2706.654538	2105.826808	2287.490191	2186.898258	2654.015195	2561.953967	2759.420409	2822.254844	2454.980179	2711.64664	2862.088092	2389.671964	2669.859641	2609.688932	2269.611182	2571.620723	2431.642389	2994.220142	2636.169653
