#mpa_vOct22_CHOCOPhlAnSGB_202212																			
clade_name	ETV364_1_filtered.fastqd_metagenome	ETV364_12_filtered.fastqd_metagenome	ETV364_15_filtered.fastqd_metagenome	ETV364_16_filtered.fastqd_metagenome	ETV364_17_filtered.fastqd_metagenome	ETV364_20_filtered.fastqd_metagenome	ETV364_21_filtered.fastqd_metagenome	ETV364_29_filtered.fastqd_metagenome	ETV364_3_filtered.fastqd_metagenome	ETV364_30_filtered.fastqd_metagenome	ETV364_32_filtered.fastqd_metagenome	ETV364_33_filtered.fastqd_metagenome	ETV364_35_filtered.fastqd_metagenome	ETV364_36_filtered.fastqd_metagenome	ETV364_37_filtered.fastqd_metagenome	ETV364_38_filtered.fastqd_metagenome	ETV364_50_filtered.fastqd_metagenome	ETV364_7_filtered.fastqd_metagenome	ETV364_8_filtered.fastqd_metagenome
k__Bacteria|p__Bacteria_unclassified|c__CFGB76313	0.02698	0.04324	0.02162	0	0	0	0	0	0	0.09417	0.0431	0	0.04027	0.03258	0.04318	0.00612	0.14543	0.05687	0
k__Bacteria|p__Firmicutes|c__CFGB9827	0.02408	0.07135	0.09514	0.04275	0.04329	0.04806	0.17514	0.19091	0.1604	0	0.07749	0.122	0.07971	0.09225	0.07182	0.02566	0.02991	0.0352	0.09273
k__Bacteria|p__Firmicutes|c__CFGB76308	0.00551	0	0	0.00426	0	0	0	0	0	0.00229	0	0	0	0	0.00849	0	0.00432	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791	0.00527	0.00542	0	0.00222	0	0	0	0.00249	0	0.02262	0.05013	0	0.56115	0	0.00756	0.00742	0.05256	0.00242	0
k__Bacteria|p__Firmicutes|c__CFGB1227	0.0051	0.00579	0	0.04395	0	0.00707	0	0	0.01034	0.22876	0.07013	0	0.00698	0	0.03205	0.01362	0.01203	0.12541	0.00667
k__Bacteria|p__Firmicutes|c__CFGB76355	0.00427	0.00202	0	0	0	0	0.00477	0	0	0	0	0	0	0	0.0293	0	0.03241	0	0
k__Bacteria|p__Firmicutes|c__CFGB76074	0.00085	0.01276	0	0	0	0	0	0	0.09827	0	0	0	0	0.04707	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB49426	0.0006	0.05829	0	0.70997	0.46255	0.01575	0.96643	0.05397	0	0.05096	0.37464	0.05085	0.01856	0.06509	0.33596	0.05739	0.20085	0.06027	0.3761
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	24.61558	36.91582	25.20678	37.45428	4.67822	25.17149	15.23617	8.84827	18.95123	16.95535	19.31258	18.42339	15.70365	21.68127	30.36931	10.40935	13.80507	39.69558	10.09533
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	24.5255	20.90546	27.74198	23.94792	33.10313	24.21649	23.51979	35.28105	26.63286	37.2014	27.89195	24.4163	33.59564	29.88304	24.06778	34.34901	36.63693	21.51676	26.86927
