"","clade_name","ETV364_8","ETV364_7","ETV364_50","ETV364_38","ETV364_37","ETV364_36","ETV364_35","ETV364_33","ETV364_32","ETV364_30","ETV364_3","ETV364_29","ETV364_21","ETV364_20","ETV364_17","ETV364_16","ETV364_15","ETV364_12","ETV364_1"
"67","k__Bacteria|p__Firmicutes|c__CFGB30328|o__OFGB30328|f__FGB30328|g__GGB1559|s__GGB1559_SGB43521",1898914,283882,183806,996233,142672,1984920,247201,1519620,481371,529210,1437570,1246377,0,1622250,2008155,209222,0,1102677,1243105
"68","k__Bacteria|p__Firmicutes|c__CFGB3297|o__OFGB3297|f__FGB3297|g__GGB29668|s__GGB29668_SGB42476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","k__Bacteria|p__Firmicutes|c__CFGB48875|o__OFGB48875|f__FGB48875|g__GGB28776|s__GGB28776_SGB41429",11557,1971,0,21571,0,0,0,6979,90,0,0,15043,0,5228,21452,0,10676,0,0
"70","k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645|f__FGB6645|g__GGB28989|s__GGB28989_SGB41703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20080,0
"71","k__Bacteria|p__Firmicutes|c__CFGB6645|o__OFGB6645|f__FGB6645|g__GGB28991|s__GGB28991_SGB41705",0,0,0,0,0,0,65454,0,0,1097,30251,0,0,0,0,0,4811,54501,138737
"72","k__Bacteria|p__Firmicutes|c__CFGB72709|o__OFGB72709|f__FGB72709|g__GGB30300|s__GGB30300_SGB43264",344137,205982,152817,447499,112137,399518,369573,471542,319739,81283,276545,268222,369492,164866,118374,60679,421068,183220,50163
"73","k__Bacteria|p__Firmicutes|c__CFGB73217|o__OFGB73217|f__FGB73217|g__GGB28956|s__GGB28956_SGB41665",20276,4534,21146,41804,4598,17948,51070,42547,23735,10523,36304,32169,37932,32892,54376,38993,51893,7005,64235
"74","k__Bacteria|p__Firmicutes|c__CFGB75900|o__OFGB75900|f__FGB75900|g__GGB45977|s__GGB45977_SGB41021",0,1808,7183,12124,0,0,0,0,6148,5143,0,2113,8279,0,0,7673,0,5594,4361
"75","k__Bacteria|p__Firmicutes|c__CFGB75925|o__OFGB75925|f__FGB75925|g__GGB31439|s__GGB31439_SGB44769",0,0,52378,0,0,0,0,0,39216,1622,0,0,0,0,0,0,0,0,5775
"76","k__Bacteria|p__Firmicutes|c__CFGB75984|o__OFGB75984|f__FGB75984|g__GGB45564|s__GGB45564_SGB63259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106340,0
"77","k__Bacteria|p__Firmicutes|c__CFGB75988|o__OFGB75988|f__FGB75988|g__GGB79760|s__GGB79760_SGB63182",66094,51788,72988,79606,41079,68938,2276,63100,62576,76605,78821,46418,39618,61173,45278,82197,0,68536,0
"78","k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074|f__FGB76074|g__GGB28949|s__GGB28949_SGB41655",0,0,0,0,0,25035,0,0,0,0,42695,0,0,0,0,0,0,8166,433
"79","k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077|f__FGB76077|g__GGB28841|s__GGB28841_SGB41505",0,0,0,0,1176,0,0,0,0,243,0,0,0,0,0,0,0,0,0
"80","k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077|f__FGB76077|g__GGB28851|s__GGB28851_SGB41518",39026,229,0,23470,0,2801,2884,7225,0,0,0,2151,16791,13710,44744,10243,0,0,0
"81","k__Bacteria|p__Firmicutes|c__CFGB76077|o__OFGB76077|f__FGB76077|g__GGB28853|s__GGB28853_SGB41519",0,0,2538,0,0,0,0,0,315,8037,0,0,0,0,0,0,0,1074,0
"82","k__Bacteria|p__Firmicutes|c__CFGB76081|o__OFGB76081|f__FGB76081|g__GGB31851|s__GGB31851_SGB45230",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","k__Bacteria|p__Firmicutes|c__CFGB76084|o__OFGB76084|f__FGB76084|g__GGB28645|s__GGB28645_SGB41268",4203,2472,733,7964,334,218,3045,1938,32167,4165,977,10371,0,1506,2691,4157,3144,4336,2343
